churn_id,account_id,company,plan,arr_lost,mrr_lost,churn_date,churn_reason_primary,churn_reason_secondary,health_score_at_churn,health_status_at_churn,days_since_last_login,csm_owner,save_attempted,save_offer_type,save_succeeded,win_back_eligible,competitor_moved_to,contract_remaining_months
CHR-0001,ACC-0109,SwiftLine Facilities Management Technologies,Pro,19867.68,1655.64,2024-09-19,Price sensitivity,Integration failure,59.3,Yellow,58,Lena Fischer,Yes,None,No,No,None known,2
CHR-0002,ACC-0390,TrustWorks Facilities Management Group,Growth,8950.8,745.9,2025-04-02,Onboarding never completed,Switched to competitor,52.2,Yellow,36,Emma Solis,No,None,No,Yes,ServiceTitan,7
CHR-0003,ACC-0352,Pinnacle HVAC Solutions,Starter,3815.28,317.94,2024-03-07,Integration failure,None,65.0,Yellow,49,Felix Brennan,Yes,Price discount,No,Yes,Jobber,3
CHR-0004,ACC-0245,OneCall HVAC Technologies,Starter,3565.8,297.15,2025-01-28,Switched to competitor,Onboarding never completed,62.2,Yellow,18,Omar Castillo,Yes,1-month credit,No,No,None known,7
CHR-0005,ACC-0492,SwiftLine Pest Control Experts,Growth,8250.36,687.53,2024-03-08,Technician adoption failure,Integration failure,53.6,Yellow,30,Ravi Mehta,Yes,Price discount,No,No,None known,4
CHR-0006,ACC-0636,TrustWorks HVAC Experts,Pro,22629.72,1885.81,2024-05-01,Business closed/downsized,Price sensitivity,46.8,Yellow,48,Jordan Blake,Yes,1-month credit,No,No,Jobber,3
CHR-0007,ACC-0016,SwiftLine Pest Control Experts,Growth,8466.12,705.51,2024-04-18,Switched to competitor,Onboarding never completed,69.0,Yellow,37,Jordan Blake,Yes,None,No,No,ServiceTitan,3
CHR-0008,ACC-0339,Metro Facilities Management Services,Starter,4364.16,363.68,2024-04-30,Integration failure,Technician adoption failure,61.9,Yellow,53,Ravi Mehta,No,None,No,Yes,ServiceTitan,3
CHR-0009,ACC-0231,Allied HVAC Associates,Growth,9328.68,777.39,2025-01-25,Price sensitivity,Technician adoption failure,67.2,Yellow,42,Emma Solis,No,None,No,No,ServiceTitan,4
CHR-0010,ACC-0313,TrustWorks Electrical Experts,Starter,3295.32,274.61,2025-03-18,Price sensitivity,Business closed/downsized,33.0,Red,14,Omar Castillo,Yes,Price discount,No,No,ServiceTitan,5
CHR-0011,ACC-0186,SwiftLine Facilities Management Partners,Starter,4410.84,367.57,2024-04-10,Business closed/downsized,Business closed/downsized,66.8,Yellow,26,Tanya Oluoch,Yes,None,No,No,ServiceTitan,1
CHR-0012,ACC-0577,SwiftLine Plumbing Solutions,Starter,4184.4,348.7,2024-06-13,Switched to competitor,Integration failure,65.5,Yellow,13,Felix Brennan,No,None,No,Yes,None known,0
CHR-0013,ACC-0001,Allied HVAC Systems,Growth,11488.8,957.4,2025-03-08,Integration failure,None,62.5,Yellow,44,Jordan Blake,Yes,Price discount,No,No,None known,6
CHR-0014,ACC-0517,SwiftLine HVAC Technologies,Pro,15888.12,1324.01,2025-02-02,Technician adoption failure,Price sensitivity,65.3,Yellow,26,Omar Castillo,Yes,Price discount,No,Yes,ServiceTitan,6
CHR-0015,ACC-0556,Elite Pest Control Technologies,Growth,7432.92,619.41,2025-04-25,Technician adoption failure,Business closed/downsized,50.4,Yellow,73,Lena Fischer,No,None,No,No,FieldEdge,8
CHR-0016,ACC-0079,Regional Plumbing Partners,Starter,3660.24,305.02,2024-06-06,Switched to competitor,Business closed/downsized,67.6,Yellow,86,Sadia Islam,Yes,None,No,No,FieldEdge,7
CHR-0017,ACC-0446,Heritage Plumbing Group,Growth,10070.52,839.21,2024-06-29,Switched to competitor,Switched to competitor,51.8,Yellow,14,Jordan Blake,Yes,Plan downgrade,No,Yes,ServiceTitan,8
CHR-0018,ACC-0172,Elite Pest Control Works,Starter,4959.48,413.29,2025-02-27,Technician adoption failure,Integration failure,58.0,Yellow,84,Sadia Islam,Yes,None,No,Yes,Jobber,4
CHR-0019,ACC-0229,ProServ Other Experts,Growth,9119.64,759.97,2024-11-07,Business closed/downsized,Business closed/downsized,69.4,Yellow,89,Sadia Islam,Yes,1-month credit,No,No,FieldEdge,8
CHR-0020,ACC-0075,Regional HVAC Professionals,Starter,3894.24,324.52,2024-08-04,Technician adoption failure,Integration failure,49.2,Yellow,80,Felix Brennan,Yes,1-month credit,No,Yes,Jobber,6
CHR-0021,ACC-0391,National HVAC Systems,Growth,11740.68,978.39,2024-08-25,Technician adoption failure,None,53.6,Yellow,24,Jordan Blake,No,None,No,No,None known,7
CHR-0022,ACC-0125,BlueStar HVAC Solutions,Starter,4926.12,410.51,2025-04-29,Technician adoption failure,Business closed/downsized,47.6,Yellow,28,Tanya Oluoch,Yes,None,No,No,Jobber,5
CHR-0023,ACC-0368,Dynamic HVAC Partners,Starter,3878.04,323.17,2025-01-14,Technician adoption failure,Business closed/downsized,47.4,Yellow,75,Lena Fischer,Yes,Plan downgrade,No,Yes,ServiceTitan,1
CHR-0024,ACC-0072,Reliable HVAC Experts,Starter,3146.76,262.23,2024-05-03,Switched to competitor,Price sensitivity,65.2,Yellow,58,Omar Castillo,No,None,No,No,ServiceTitan,5
CHR-0025,ACC-0508,National Electrical Experts,Starter,3844.68,320.39,2024-04-15,Technician adoption failure,Business closed/downsized,55.4,Yellow,54,Felix Brennan,Yes,Plan downgrade,No,Yes,Jobber,7
CHR-0026,ACC-0582,Dynamic HVAC Solutions,Starter,4894.08,407.84,2025-01-05,Technician adoption failure,Integration failure,55.2,Yellow,70,Jordan Blake,No,None,No,Yes,None known,5
CHR-0027,ACC-0065,Premier Plumbing Systems,Pro,18007.2,1500.6,2024-06-19,Price sensitivity,Onboarding never completed,60.2,Yellow,35,Omar Castillo,Yes,Plan downgrade,No,Yes,FieldEdge,2
CHR-0028,ACC-0463,ProServ HVAC Experts,Pro,20094.6,1674.55,2024-04-08,Price sensitivity,None,42.9,Yellow,68,Felix Brennan,Yes,None,No,Yes,None known,2
CHR-0029,ACC-0427,Heritage HVAC Works,Enterprise,66910.2,5575.85,2024-01-07,Business closed/downsized,Business closed/downsized,51.5,Yellow,9,Sadia Islam,No,None,No,Yes,FieldEdge,5
CHR-0030,ACC-0136,SwiftLine HVAC Professionals,Starter,3121.8,260.15,2024-11-29,Price sensitivity,Business closed/downsized,51.2,Yellow,73,Omar Castillo,Yes,Plan downgrade,No,No,FieldEdge,0
CHR-0031,ACC-0570,Heritage Electrical Works,Starter,4906.2,408.85,2025-05-02,Integration failure,Integration failure,54.0,Yellow,55,Felix Brennan,Yes,Plan downgrade,No,Yes,FieldEdge,8
CHR-0032,ACC-0070,Pinnacle HVAC Partners,Pro,19104.48,1592.04,2025-03-27,Price sensitivity,None,61.2,Yellow,64,Tanya Oluoch,Yes,1-month credit,No,No,Jobber,5
CHR-0033,ACC-0629,Premier Facilities Management Works,Starter,3284.76,273.73,2025-04-19,Price sensitivity,Integration failure,69.2,Yellow,14,Lena Fischer,Yes,Price discount,No,Yes,Jobber,2
CHR-0034,ACC-0573,Heritage HVAC Partners,Starter,3852.36,321.03,2025-03-04,Technician adoption failure,Onboarding never completed,61.4,Yellow,17,Tanya Oluoch,Yes,None,No,No,FieldEdge,0
CHR-0035,ACC-0491,TrustWorks HVAC Partners,Growth,11142.84,928.57,2024-03-06,Technician adoption failure,Switched to competitor,53.8,Yellow,88,Emma Solis,Yes,None,No,No,Jobber,4
CHR-0036,ACC-0073,Heritage HVAC Systems,Enterprise,67651.08,5637.59,2024-04-07,Integration failure,Price sensitivity,56.4,Yellow,68,Tanya Oluoch,No,None,No,No,None known,8
CHR-0037,ACC-0348,Reliable Electrical Experts,Starter,3487.56,290.63,2025-03-07,Technician adoption failure,Switched to competitor,63.0,Yellow,63,Tanya Oluoch,Yes,None,No,Yes,ServiceTitan,5
CHR-0038,ACC-0074,Elite Plumbing Technologies,Pro,22273.08,1856.09,2024-09-11,Business closed/downsized,Integration failure,59.1,Yellow,77,Jordan Blake,Yes,1-month credit,No,No,Jobber,3
CHR-0039,ACC-0287,Pinnacle Facilities Management Group,Growth,9986.76,832.23,2025-02-03,Price sensitivity,Onboarding never completed,49.4,Yellow,53,Felix Brennan,Yes,Plan downgrade,No,No,None known,6
CHR-0040,ACC-0132,Allied Plumbing Experts,Pro,16587.72,1382.31,2024-10-03,Price sensitivity,Switched to competitor,54.0,Yellow,87,Emma Solis,Yes,Price discount,No,No,Jobber,2
CHR-0041,ACC-0135,OneCall Electrical Experts,Starter,3238.08,269.84,2024-06-05,Technician adoption failure,Onboarding never completed,62.0,Yellow,33,Lena Fischer,No,None,No,No,None known,4
CHR-0042,ACC-0548,OneCall Landscaping Partners,Growth,10459.56,871.63,2024-10-02,Price sensitivity,Integration failure,68.4,Yellow,56,Sadia Islam,Yes,1-month credit,No,Yes,ServiceTitan,7
CHR-0043,ACC-0499,TrustWorks HVAC Systems,Starter,3079.2,256.6,2024-03-17,Business closed/downsized,Price sensitivity,51.0,Yellow,12,Jordan Blake,No,None,No,No,None known,3
CHR-0044,ACC-0473,Apex Plumbing Group,Pro,17749.8,1479.15,2024-09-26,Switched to competitor,Price sensitivity,57.2,Yellow,74,Omar Castillo,Yes,Plan downgrade,No,No,Jobber,2
CHR-0045,ACC-0462,Dynamic Electrical Systems,Starter,3524.52,293.71,2024-03-13,Switched to competitor,Integration failure,29.2,Red,55,Lena Fischer,No,None,No,Yes,Jobber,7
CHR-0046,ACC-0589,Reliable HVAC Experts,Growth,10183.44,848.62,2025-01-17,Price sensitivity,Technician adoption failure,61.6,Yellow,14,Jordan Blake,No,None,No,Yes,Jobber,0
CHR-0047,ACC-0115,Dynamic HVAC Works,Pro,18541.56,1545.13,2025-01-03,Switched to competitor,Onboarding never completed,67.8,Yellow,60,Tanya Oluoch,Yes,Plan downgrade,No,Yes,ServiceTitan,6
CHR-0048,ACC-0302,Allied Plumbing Professionals,Starter,4718.4,393.2,2024-11-03,Technician adoption failure,Switched to competitor,44.8,Yellow,77,Lena Fischer,Yes,1-month credit,No,No,None known,0
CHR-0049,ACC-0233,Summit Electrical Works,Growth,10509.36,875.78,2024-03-11,Technician adoption failure,Price sensitivity,55.2,Yellow,19,Ravi Mehta,No,None,No,Yes,Jobber,3
CHR-0050,ACC-0248,Premier Pest Control Group,Starter,4769.28,397.44,2025-02-13,Technician adoption failure,Price sensitivity,67.6,Yellow,72,Felix Brennan,No,None,No,Yes,FieldEdge,8
CHR-0051,ACC-0021,Heritage Facilities Management Associates,Growth,8001.12,666.76,2025-06-01,Switched to competitor,Business closed/downsized,58.1,Yellow,33,Ravi Mehta,No,None,No,No,None known,2
CHR-0052,ACC-0521,Pinnacle Plumbing Professionals,Growth,11371.2,947.6,2024-04-25,Integration failure,None,50.8,Yellow,70,Emma Solis,Yes,None,No,No,Jobber,8
CHR-0053,ACC-0494,RapidFix HVAC Partners,Growth,11194.68,932.89,2024-08-17,Price sensitivity,Integration failure,66.2,Yellow,16,Emma Solis,Yes,1-month credit,No,No,Jobber,8
CHR-0054,ACC-0327,Elite Plumbing Works,Growth,8084.28,673.69,2024-10-31,Price sensitivity,Integration failure,66.2,Yellow,67,Felix Brennan,Yes,None,No,Yes,None known,8
CHR-0055,ACC-0210,Apex HVAC Associates,Pro,21902.16,1825.18,2024-09-24,Technician adoption failure,Integration failure,58.8,Yellow,11,Felix Brennan,Yes,1-month credit,No,No,None known,4
CHR-0056,ACC-0353,Metro Plumbing Technologies,Starter,3254.16,271.18,2025-04-18,Technician adoption failure,Onboarding never completed,68.9,Yellow,36,Tanya Oluoch,Yes,1-month credit,No,Yes,None known,5
CHR-0057,ACC-0027,Pinnacle Facilities Management Systems,Growth,10888.08,907.34,2025-03-27,Switched to competitor,Technician adoption failure,60.6,Yellow,23,Omar Castillo,Yes,Plan downgrade,No,Yes,ServiceTitan,7
CHR-0058,ACC-0291,Regional HVAC Professionals,Enterprise,58333.92,4861.16,2024-04-26,Switched to competitor,Business closed/downsized,47.4,Yellow,29,Tanya Oluoch,No,None,No,No,Jobber,7
CHR-0059,ACC-0257,Premier Electrical Solutions,Starter,4430.88,369.24,2024-11-18,Business closed/downsized,None,66.3,Yellow,17,Tanya Oluoch,Yes,Price discount,No,No,Jobber,0
CHR-0060,ACC-0157,Elite Landscaping Associates,Pro,16356.84,1363.07,2025-02-28,Technician adoption failure,Technician adoption failure,62.8,Yellow,55,Omar Castillo,No,None,No,Yes,None known,2
CHR-0061,ACC-0322,Apex HVAC Partners,Pro,16203.72,1350.31,2025-02-09,Technician adoption failure,Technician adoption failure,62.4,Yellow,8,Jordan Blake,No,None,No,No,Jobber,1
CHR-0062,ACC-0237,National HVAC Professionals,Pro,16356.12,1363.01,2024-02-13,Technician adoption failure,Technician adoption failure,66.3,Yellow,65,Ravi Mehta,No,None,No,No,Jobber,5
CHR-0063,ACC-0443,Reliable Facilities Management Associates,Pro,16888.2,1407.35,2024-03-06,Technician adoption failure,Switched to competitor,50.6,Yellow,26,Tanya Oluoch,No,None,No,Yes,ServiceTitan,1
CHR-0064,ACC-0049,Allied Electrical Associates,Starter,4301.16,358.43,2024-08-08,Price sensitivity,Switched to competitor,46.9,Yellow,10,Emma Solis,No,None,No,No,ServiceTitan,4
CHR-0065,ACC-0526,TrustWorks Electrical Professionals,Enterprise,60695.16,5057.93,2024-01-06,Technician adoption failure,Business closed/downsized,58.2,Yellow,56,Omar Castillo,No,None,No,No,ServiceTitan,3
CHR-0066,ACC-0087,RapidFix HVAC Professionals,Growth,7129.92,594.16,2025-02-16,Technician adoption failure,Switched to competitor,65.8,Yellow,69,Emma Solis,Yes,Plan downgrade,No,Yes,FieldEdge,5
CHR-0067,ACC-0493,BlueStar Electrical Services,Growth,10826.04,902.17,2024-02-19,Price sensitivity,Integration failure,66.8,Yellow,7,Omar Castillo,Yes,None,No,No,Jobber,5
CHR-0068,ACC-0317,Elite HVAC Systems,Pro,21320.88,1776.74,2024-08-22,Technician adoption failure,Technician adoption failure,46.0,Yellow,21,Tanya Oluoch,Yes,None,No,No,None known,2
CHR-0069,ACC-0516,Elite HVAC Technologies,Starter,4578.6,381.55,2024-11-29,Onboarding never completed,None,64.1,Yellow,80,Omar Castillo,Yes,Price discount,No,Yes,ServiceTitan,7
CHR-0070,ACC-0277,Heritage HVAC Experts,Starter,3099.72,258.31,2024-09-07,Technician adoption failure,Onboarding never completed,59.5,Yellow,16,Omar Castillo,No,None,No,No,FieldEdge,1
CHR-0071,ACC-0123,Reliable Pest Control Professionals,Enterprise,69685.2,5807.1,2024-07-30,Technician adoption failure,Integration failure,56.0,Yellow,57,Tanya Oluoch,Yes,None,No,Yes,Jobber,4
CHR-0072,ACC-0012,National Plumbing Technologies,Starter,4454.04,371.17,2024-01-01,Switched to competitor,None,32.4,Red,32,Jordan Blake,Yes,Price discount,No,No,None known,6
CHR-0073,ACC-0278,OneCall HVAC Works,Growth,8443.56,703.63,2024-12-11,Technician adoption failure,Switched to competitor,32.0,Red,56,Sadia Islam,Yes,Plan downgrade,No,No,FieldEdge,7
CHR-0074,ACC-0637,BlueStar Plumbing Systems,Pro,22715.88,1892.99,2024-10-11,Technician adoption failure,Integration failure,68.4,Yellow,47,Felix Brennan,Yes,1-month credit,No,No,ServiceTitan,8
CHR-0075,ACC-0638,OneCall HVAC Experts,Starter,3464.04,288.67,2024-11-01,Technician adoption failure,Price sensitivity,66.6,Yellow,69,Omar Castillo,Yes,Price discount,No,Yes,FieldEdge,6
CHR-0076,ACC-0269,Apex Plumbing Works,Growth,9268.68,772.39,2024-09-03,Business closed/downsized,Business closed/downsized,61.2,Yellow,7,Lena Fischer,Yes,1-month credit,No,Yes,FieldEdge,5
CHR-0077,ACC-0288,BlueStar Plumbing Group,Pro,19420.2,1618.35,2025-01-04,Business closed/downsized,Onboarding never completed,52.5,Yellow,44,Jordan Blake,Yes,None,No,No,FieldEdge,2
CHR-0078,ACC-0280,Heritage Landscaping Experts,Growth,7553.64,629.47,2024-03-01,Technician adoption failure,Onboarding never completed,56.9,Yellow,83,Sadia Islam,Yes,1-month credit,No,Yes,Jobber,0
CHR-0079,ACC-0176,OneCall Electrical Group,Growth,9942.6,828.55,2024-04-07,Switched to competitor,Integration failure,60.9,Yellow,73,Omar Castillo,Yes,1-month credit,No,No,ServiceTitan,1
CHR-0080,ACC-0371,Summit HVAC Group,Starter,3857.16,321.43,2025-05-13,Price sensitivity,Business closed/downsized,50.9,Yellow,22,Lena Fischer,Yes,Plan downgrade,No,Yes,None known,7
CHR-0081,ACC-0260,Elite HVAC Partners,Starter,4834.32,402.86,2024-12-28,Price sensitivity,Technician adoption failure,51.5,Yellow,57,Sadia Islam,Yes,Plan downgrade,No,No,FieldEdge,3
CHR-0082,ACC-0253,Summit Pest Control Experts,Enterprise,67797.84,5649.82,2025-03-17,Switched to competitor,Onboarding never completed,67.2,Yellow,88,Sadia Islam,Yes,None,No,No,Jobber,0
CHR-0083,ACC-0455,Allied Electrical Technologies,Growth,8182.56,681.88,2024-05-25,Integration failure,Integration failure,66.6,Yellow,69,Emma Solis,Yes,1-month credit,No,No,Jobber,6
CHR-0084,ACC-0301,OneCall HVAC Professionals,Pro,15683.76,1306.98,2024-12-13,Technician adoption failure,None,58.5,Yellow,44,Omar Castillo,Yes,1-month credit,No,Yes,Jobber,7
CHR-0085,ACC-0527,TrustWorks Landscaping Systems,Growth,9760.68,813.39,2024-04-27,Price sensitivity,Price sensitivity,45.3,Yellow,44,Sadia Islam,Yes,Price discount,No,Yes,FieldEdge,5
CHR-0086,ACC-0488,Dynamic HVAC Partners,Starter,4224.96,352.08,2025-01-12,Switched to competitor,Technician adoption failure,58.8,Yellow,13,Lena Fischer,No,None,No,Yes,ServiceTitan,6
CHR-0087,ACC-0276,Premier Plumbing Technologies,Enterprise,59604.24,4967.02,2024-12-24,Switched to competitor,Business closed/downsized,69.0,Yellow,61,Tanya Oluoch,Yes,Price discount,No,Yes,None known,2
CHR-0088,ACC-0088,Allied Facilities Management Solutions,Enterprise,50054.76,4171.23,2024-09-17,Technician adoption failure,Technician adoption failure,60.6,Yellow,85,Lena Fischer,Yes,1-month credit,No,No,Jobber,4
