onboarding_id,account_id,company,plan,csm_owner,kickoff_date,go_live_date,target_days_to_value,actual_days_to_value,on_time,delay_days,primary_delay_reason,current_phase,completed,kickoff_call_held,data_migration_complete,quickbooks_connected,tech_app_adopted,first_invoice_sent,health_score_at_day30,nps_at_day30
ONB-0001,ACC-0221,Summit Facilities Management Associates,Starter,Omar Castillo,2023-02-03,2023-02-24,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,Yes,Yes,95.0,6
ONB-0002,ACC-0529,Premier Electrical Systems,Growth,Sadia Islam,2024-07-23,2024-08-30,21,38,No,17,QuickBooks sync failure,Data Migration,No,Yes,Yes,Yes,No,No,29.9,0
ONB-0003,ACC-0624,ProServ HVAC Associates,Growth,Felix Brennan,2022-11-24,2022-12-15,21,21,Yes,0,None,Completed,Yes,Yes,Yes,Yes,Yes,Yes,84.8,5
ONB-0004,ACC-0100,Heritage Electrical Services,Growth,Jordan Blake,2023-11-11,2023-11-29,21,18,Yes,0,None,Go-Live,No,Yes,Yes,No,No,Yes,36.5,8
ONB-0005,ACC-0446,Heritage Plumbing Group,Growth,Jordan Blake,2023-04-23,2023-05-31,21,38,No,17,Customer unresponsive,Kickoff,No,Yes,Yes,Yes,No,No,51.8,4
ONB-0006,ACC-0084,ProServ Plumbing Associates,Starter,Jordan Blake,2022-12-01,2023-01-08,21,38,No,17,Technician app resistance,Data Migration,No,Yes,Yes,No,No,No,64.4,9
ONB-0007,ACC-0615,Elite HVAC Systems,Starter,Lena Fischer,2022-09-14,2022-11-01,21,48,No,27,QuickBooks sync failure,Training,No,Yes,Yes,No,No,No,78.0,10
ONB-0008,ACC-0028,OneCall Electrical Experts,Growth,Omar Castillo,2022-12-23,2023-01-10,21,18,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,84.6,8
ONB-0009,ACC-0359,Summit HVAC Services,Starter,Emma Solis,2022-09-11,2022-10-06,21,25,No,4,None,Kickoff,No,Yes,Yes,Yes,No,Yes,66.6,10
ONB-0010,ACC-0329,Heritage Plumbing Systems,Pro,Emma Solis,2022-07-16,2022-09-14,21,60,No,39,Customer unresponsive,Completed,Yes,Yes,Yes,Yes,No,No,68.1,5
ONB-0011,ACC-0569,Allied Landscaping Professionals,Growth,Ravi Mehta,2023-10-10,2023-11-04,21,25,No,4,QuickBooks sync failure,Data Migration,No,Yes,Yes,Yes,No,Yes,81.8,10
ONB-0012,ACC-0500,National Electrical Technologies,Starter,Felix Brennan,2023-03-14,2023-04-13,21,30,No,9,Customer unresponsive,Configuration,No,Yes,Yes,No,No,No,60.8,8
ONB-0013,ACC-0375,ProServ HVAC Solutions,Starter,Tanya Oluoch,2022-12-31,2023-01-21,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,Yes,Yes,44.8,1
ONB-0014,ACC-0213,Metro Other Experts,Starter,Ravi Mehta,2024-05-28,2024-06-22,21,25,No,4,Data migration issues,Training,No,Yes,Yes,No,Yes,Yes,76.6,6
ONB-0015,ACC-0019,Regional Pest Control Technologies,Starter,Felix Brennan,2022-07-09,2022-08-16,21,38,No,17,QuickBooks sync failure,Configuration,No,Yes,Yes,Yes,Yes,No,60.4,0
ONB-0016,ACC-0154,TrustWorks Other Partners,Starter,Emma Solis,2023-03-03,2023-04-02,21,30,No,9,None,Configuration,No,Yes,Yes,Yes,No,No,79.2,4
ONB-0017,ACC-0602,RapidFix HVAC Professionals,Growth,Jordan Blake,2023-09-30,2023-10-18,21,18,Yes,0,None,Configuration,No,Yes,Yes,No,No,Yes,53.3,2
ONB-0018,ACC-0420,SwiftLine Facilities Management Systems,Pro,Sadia Islam,2022-07-15,2022-08-05,21,21,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,57.9,3
ONB-0019,ACC-0089,Dynamic HVAC Systems,Growth,Felix Brennan,2023-04-16,2023-05-11,21,25,No,4,Data migration issues,Integrations,No,Yes,Yes,Yes,Yes,Yes,84.0,1
ONB-0020,ACC-0279,Premier Plumbing Solutions,Growth,Felix Brennan,2024-07-09,2024-07-27,21,18,Yes,0,None,Go-Live,No,Yes,Yes,No,Yes,Yes,78.4,0
ONB-0021,ACC-0600,Pinnacle Pest Control Group,Starter,Jordan Blake,2023-03-22,2023-04-21,21,30,No,9,Data migration issues,Configuration,No,Yes,Yes,No,Yes,No,74.8,3
ONB-0022,ACC-0616,SwiftLine HVAC Group,Starter,Tanya Oluoch,2024-06-11,2024-07-29,21,48,No,27,Data migration issues,Kickoff,No,Yes,Yes,Yes,Yes,No,84.8,8
ONB-0023,ACC-0059,Summit Facilities Management Associates,Growth,Felix Brennan,2022-09-27,2022-11-26,21,60,No,39,Champion left – restart required,Kickoff,No,No,Yes,Yes,Yes,No,65.8,4
ONB-0024,ACC-0305,Allied Pest Control Partners,Starter,Emma Solis,2023-06-10,2023-07-10,21,30,No,9,Champion left – restart required,Configuration,No,Yes,Yes,Yes,No,No,79.8,9
ONB-0025,ACC-0067,Pinnacle HVAC Solutions,Pro,Sadia Islam,2022-12-19,2023-01-09,21,21,Yes,0,None,Training,No,Yes,Yes,Yes,No,Yes,75.6,4
ONB-0026,ACC-0439,Reliable HVAC Professionals,Growth,Sadia Islam,2024-07-10,2024-08-04,21,25,No,4,Champion left – restart required,Completed,Yes,Yes,Yes,Yes,No,Yes,74.2,8
ONB-0027,ACC-0480,National Electrical Services,Growth,Felix Brennan,2024-04-11,2024-05-02,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,No,Yes,62.9,9
ONB-0028,ACC-0580,Summit Plumbing Technologies,Pro,Jordan Blake,2023-06-02,2023-06-27,21,25,No,4,Champion left – restart required,Data Migration,No,Yes,Yes,Yes,No,Yes,43.5,1
ONB-0029,ACC-0336,ProServ Landscaping Solutions,Pro,Omar Castillo,2022-08-04,2022-08-29,21,25,No,4,Data migration issues,Training,No,Yes,Yes,Yes,No,Yes,84.4,4
ONB-0030,ACC-0161,Elite Facilities Management Systems,Starter,Tanya Oluoch,2023-01-01,2023-01-31,21,30,No,9,Technician app resistance,Data Migration,No,Yes,Yes,No,No,No,59.8,0
ONB-0031,ACC-0044,BlueStar Electrical Partners,Starter,Emma Solis,2024-01-15,2024-02-14,21,30,No,9,Customer unresponsive,Completed,Yes,Yes,Yes,No,Yes,No,80.1,6
ONB-0032,ACC-0192,Heritage HVAC Systems,Starter,Sadia Islam,2023-10-14,2023-11-13,21,30,No,9,Data migration issues,Completed,Yes,Yes,Yes,Yes,No,No,77.8,6
ONB-0033,ACC-0476,Dynamic Other Services,Growth,Omar Castillo,2023-11-20,2023-12-04,21,14,Yes,0,None,Training,No,Yes,No,Yes,No,Yes,48.1,7
ONB-0034,ACC-0521,Pinnacle Plumbing Professionals,Growth,Emma Solis,2023-07-21,2023-08-20,21,30,No,9,Customer unresponsive,Training,No,Yes,Yes,Yes,No,No,50.8,10
ONB-0035,ACC-0099,Metro Electrical Experts,Pro,Sadia Islam,2022-06-11,2022-07-02,21,21,Yes,0,None,Integrations,No,Yes,Yes,Yes,Yes,Yes,61.6,9
ONB-0036,ACC-0282,Dynamic Landscaping Experts,Enterprise,Omar Castillo,2023-06-15,2023-06-29,21,14,Yes,0,None,Integrations,No,Yes,No,Yes,No,Yes,62.6,7
ONB-0037,ACC-0337,BlueStar HVAC Systems,Pro,Emma Solis,2023-05-08,2023-06-02,21,25,No,4,Technician app resistance,Data Migration,No,Yes,Yes,Yes,Yes,Yes,76.2,7
ONB-0038,ACC-0270,Reliable Facilities Management Works,Growth,Tanya Oluoch,2023-11-11,2023-12-11,21,30,No,9,Champion left – restart required,Go-Live,No,Yes,Yes,Yes,Yes,No,50.3,7
ONB-0039,ACC-0555,Allied Landscaping Works,Starter,Sadia Islam,2022-07-10,2022-08-09,21,30,No,9,QuickBooks sync failure,Training,No,Yes,Yes,No,Yes,No,77.5,8
ONB-0040,ACC-0083,Apex HVAC Experts,Growth,Lena Fischer,2024-08-17,2024-09-24,21,38,No,17,None,Configuration,No,Yes,Yes,Yes,No,No,76.4,6
ONB-0041,ACC-0073,Heritage HVAC Systems,Enterprise,Tanya Oluoch,2022-11-21,2022-12-12,21,21,Yes,0,None,Kickoff,No,Yes,Yes,Yes,No,Yes,56.4,4
ONB-0042,ACC-0576,Elite HVAC Associates,Starter,Tanya Oluoch,2022-06-19,2022-07-07,21,18,Yes,0,None,Configuration,No,Yes,Yes,Yes,No,Yes,68.2,1
ONB-0043,ACC-0124,Heritage Facilities Management Technologies,Enterprise,Jordan Blake,2022-07-09,2022-08-16,21,38,No,17,Champion left – restart required,Integrations,No,Yes,Yes,Yes,No,No,73.2,3
ONB-0044,ACC-0485,Regional HVAC Technologies,Pro,Emma Solis,2022-09-12,2022-10-20,21,38,No,17,Data migration issues,Integrations,No,Yes,Yes,Yes,No,No,81.4,9
ONB-0045,ACC-0166,Metro HVAC Experts,Growth,Jordan Blake,2023-05-15,2023-06-14,21,30,No,9,None,Completed,Yes,Yes,Yes,Yes,Yes,No,83.0,3
ONB-0046,ACC-0526,TrustWorks Electrical Professionals,Enterprise,Omar Castillo,2023-04-05,2023-06-04,21,60,No,39,Data migration issues,Completed,Yes,No,Yes,Yes,No,No,58.2,8
ONB-0047,ACC-0287,Pinnacle Facilities Management Group,Growth,Felix Brennan,2022-11-05,2022-11-30,21,25,No,4,Customer unresponsive,Configuration,No,Yes,Yes,Yes,Yes,Yes,49.4,6
ONB-0048,ACC-0346,SwiftLine Pest Control Partners,Starter,Tanya Oluoch,2023-01-08,2023-01-29,21,21,Yes,0,None,Integrations,No,Yes,Yes,Yes,No,Yes,70.0,7
ONB-0049,ACC-0639,Apex Electrical Experts,Pro,Lena Fischer,2023-03-04,2023-03-18,21,14,Yes,0,None,Completed,Yes,Yes,No,No,No,Yes,74.2,5
ONB-0050,ACC-0309,SwiftLine Electrical Associates,Starter,Lena Fischer,2023-05-04,2023-05-25,21,21,Yes,0,None,Configuration,No,Yes,Yes,Yes,Yes,Yes,88.6,9
ONB-0051,ACC-0549,Metro HVAC Works,Pro,Jordan Blake,2022-11-22,2022-12-13,21,21,Yes,0,None,Kickoff,No,Yes,Yes,Yes,Yes,Yes,80.6,4
ONB-0052,ACC-0496,Dynamic HVAC Associates,Growth,Felix Brennan,2024-05-08,2024-05-26,21,18,Yes,0,None,Go-Live,No,Yes,Yes,Yes,No,Yes,82.8,9
ONB-0053,ACC-0277,Heritage HVAC Experts,Starter,Omar Castillo,2022-09-07,2022-09-28,21,21,Yes,0,None,Integrations,No,Yes,Yes,Yes,Yes,Yes,59.5,2
ONB-0054,ACC-0264,ProServ HVAC Technologies,Pro,Emma Solis,2023-12-10,2024-01-09,21,30,No,9,Data migration issues,Data Migration,No,Yes,Yes,Yes,No,No,41.0,0
ONB-0055,ACC-0610,OneCall Electrical Works,Starter,Ravi Mehta,2023-05-07,2023-05-25,21,18,Yes,0,None,Training,No,Yes,Yes,Yes,Yes,Yes,80.2,1
ONB-0056,ACC-0046,Dynamic Facilities Management Partners,Growth,Ravi Mehta,2024-06-01,2024-07-19,21,48,No,27,QuickBooks sync failure,Configuration,No,Yes,Yes,Yes,No,No,71.0,1
ONB-0057,ACC-0179,Heritage Electrical Experts,Growth,Jordan Blake,2024-02-09,2024-03-01,21,21,Yes,0,None,Integrations,No,Yes,Yes,Yes,Yes,Yes,75.5,0
ONB-0058,ACC-0431,OneCall Facilities Management Experts,Enterprise,Omar Castillo,2023-10-10,2023-12-09,21,60,No,39,Data migration issues,Training,No,Yes,Yes,Yes,No,No,76.0,9
ONB-0059,ACC-0189,TrustWorks Plumbing Group,Growth,Sadia Islam,2024-06-24,2024-07-24,21,30,No,9,QuickBooks sync failure,Integrations,No,Yes,Yes,Yes,Yes,No,86.5,8
ONB-0060,ACC-0566,Metro Other Associates,Starter,Sadia Islam,2024-08-28,2024-09-22,21,25,No,4,Customer unresponsive,Completed,Yes,Yes,Yes,No,No,Yes,70.8,0
ONB-0061,ACC-0530,National HVAC Professionals,Starter,Tanya Oluoch,2023-09-13,2023-10-13,21,30,No,9,QuickBooks sync failure,Configuration,No,Yes,Yes,No,No,No,51.0,4
ONB-0062,ACC-0408,Heritage Pest Control Experts,Pro,Tanya Oluoch,2022-06-04,2022-07-04,21,30,No,9,Customer unresponsive,Go-Live,No,Yes,Yes,Yes,No,No,69.4,0
ONB-0063,ACC-0355,Premier Electrical Group,Growth,Sadia Islam,2024-02-02,2024-02-20,21,18,Yes,0,None,Configuration,No,Yes,Yes,Yes,Yes,Yes,76.6,6
ONB-0064,ACC-0554,Dynamic Plumbing Systems,Growth,Tanya Oluoch,2023-06-21,2023-07-09,21,18,Yes,0,None,Integrations,No,Yes,Yes,Yes,Yes,Yes,77.4,2
ONB-0065,ACC-0023,TrustWorks Electrical Solutions,Enterprise,Sadia Islam,2024-06-08,2024-08-07,21,60,No,39,Technician app resistance,Integrations,No,Yes,Yes,Yes,No,No,43.2,7
ONB-0066,ACC-0506,SwiftLine Electrical Solutions,Starter,Omar Castillo,2022-11-15,2022-12-10,21,25,No,4,Technician app resistance,Go-Live,No,Yes,Yes,Yes,Yes,Yes,88.0,8
ONB-0067,ACC-0190,Summit HVAC Technologies,Starter,Sadia Islam,2023-08-14,2023-09-04,21,21,Yes,0,None,Configuration,No,Yes,Yes,No,Yes,Yes,85.6,2
ONB-0068,ACC-0022,Summit Electrical Services,Growth,Jordan Blake,2024-05-25,2024-06-19,21,25,No,4,Technician app resistance,Configuration,No,Yes,Yes,Yes,No,Yes,72.4,6
ONB-0069,ACC-0058,Apex Pest Control Partners,Growth,Jordan Blake,2024-06-29,2024-07-20,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,No,Yes,55.0,1
ONB-0070,ACC-0571,TrustWorks HVAC Partners,Starter,Jordan Blake,2023-10-28,2023-11-18,21,21,Yes,0,None,Data Migration,No,Yes,Yes,Yes,No,Yes,81.6,4
ONB-0071,ACC-0024,Dynamic HVAC Systems,Growth,Omar Castillo,2022-11-17,2022-12-08,21,21,Yes,0,None,Configuration,No,Yes,Yes,Yes,No,Yes,41.9,0
ONB-0072,ACC-0365,Elite HVAC Technologies,Pro,Lena Fischer,2023-01-15,2023-02-05,21,21,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,73.2,7
ONB-0073,ACC-0468,Reliable Landscaping Partners,Pro,Felix Brennan,2022-12-19,2023-01-13,21,25,No,4,QuickBooks sync failure,Configuration,No,Yes,Yes,Yes,No,Yes,56.6,8
ONB-0074,ACC-0573,Heritage HVAC Partners,Starter,Tanya Oluoch,2023-01-09,2023-01-30,21,21,Yes,0,None,Kickoff,No,Yes,Yes,No,No,Yes,61.4,9
ONB-0075,ACC-0601,Elite HVAC Services,Starter,Omar Castillo,2024-04-28,2024-05-12,21,14,Yes,0,None,Training,No,Yes,No,No,Yes,Yes,86.6,7
ONB-0076,ACC-0510,BlueStar HVAC Solutions,Enterprise,Omar Castillo,2024-09-15,2024-11-02,21,48,No,27,None,Go-Live,No,Yes,Yes,Yes,No,No,74.5,7
ONB-0077,ACC-0293,National Plumbing Experts,Starter,Ravi Mehta,2023-03-12,2023-04-02,21,21,Yes,0,None,Configuration,No,Yes,Yes,Yes,Yes,Yes,67.1,10
ONB-0078,ACC-0216,OneCall Pest Control Solutions,Starter,Emma Solis,2022-12-07,2023-01-06,21,30,No,9,Data migration issues,Data Migration,No,Yes,Yes,No,Yes,No,61.1,2
ONB-0079,ACC-0330,SwiftLine Facilities Management Partners,Enterprise,Felix Brennan,2023-08-28,2023-09-27,21,30,No,9,Champion left – restart required,Go-Live,No,Yes,Yes,Yes,No,No,59.2,1
ONB-0080,ACC-0458,Allied HVAC Experts,Growth,Lena Fischer,2024-01-02,2024-01-23,21,21,Yes,0,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,64.7,0
ONB-0081,ACC-0562,Apex Other Works,Enterprise,Jordan Blake,2024-05-15,2024-06-14,21,30,No,9,Customer unresponsive,Data Migration,No,Yes,Yes,Yes,Yes,No,72.2,4
ONB-0082,ACC-0151,Regional HVAC Professionals,Starter,Jordan Blake,2022-11-08,2022-12-08,21,30,No,9,Champion left – restart required,Go-Live,No,Yes,Yes,No,No,No,52.7,3
ONB-0083,ACC-0132,Allied Plumbing Experts,Pro,Emma Solis,2023-03-13,2023-03-31,21,18,Yes,0,None,Configuration,No,Yes,Yes,Yes,Yes,Yes,54.0,6
ONB-0084,ACC-0339,Metro Facilities Management Services,Starter,Ravi Mehta,2022-12-30,2023-01-29,21,30,No,9,Technician app resistance,Training,No,Yes,Yes,No,No,No,61.9,0
ONB-0085,ACC-0353,Metro Plumbing Technologies,Starter,Tanya Oluoch,2024-08-15,2024-09-14,21,30,No,9,None,Completed,Yes,Yes,Yes,Yes,Yes,No,68.9,10
ONB-0086,ACC-0383,ProServ Facilities Management Systems,Starter,Jordan Blake,2023-05-15,2023-06-05,21,21,Yes,0,None,Kickoff,No,Yes,Yes,No,No,Yes,77.2,6
ONB-0087,ACC-0432,Dynamic Facilities Management Systems,Starter,Omar Castillo,2023-05-15,2023-06-14,21,30,No,9,QuickBooks sync failure,Training,No,Yes,Yes,Yes,No,No,59.9,5
ONB-0088,ACC-0513,TrustWorks Facilities Management Group,Starter,Jordan Blake,2023-05-20,2023-06-27,21,38,No,17,Technician app resistance,Configuration,No,Yes,Yes,Yes,No,No,63.4,0
ONB-0089,ACC-0026,Reliable HVAC Group,Growth,Emma Solis,2022-06-15,2022-06-29,21,14,Yes,0,None,Kickoff,No,Yes,No,Yes,Yes,Yes,86.8,10
ONB-0090,ACC-0275,ProServ Plumbing Services,Growth,Felix Brennan,2023-12-23,2024-01-17,21,25,No,4,QuickBooks sync failure,Training,No,Yes,Yes,Yes,No,Yes,63.1,7
ONB-0091,ACC-0435,Premier Facilities Management Experts,Growth,Emma Solis,2023-07-09,2023-08-08,21,30,No,9,QuickBooks sync failure,Integrations,No,Yes,Yes,Yes,No,No,50.5,5
ONB-0092,ACC-0014,TrustWorks HVAC Group,Growth,Emma Solis,2024-07-11,2024-08-05,21,25,No,4,None,Training,No,Yes,Yes,Yes,Yes,Yes,67.1,3
ONB-0093,ACC-0002,Premier HVAC Associates,Starter,Sadia Islam,2023-12-13,2024-01-03,21,21,Yes,0,None,Data Migration,No,Yes,Yes,No,Yes,Yes,80.5,8
ONB-0094,ACC-0107,RapidFix Landscaping Partners,Pro,Felix Brennan,2023-06-07,2023-06-21,21,14,Yes,0,None,Go-Live,No,Yes,No,Yes,Yes,Yes,81.8,9
ONB-0095,ACC-0348,Reliable Electrical Experts,Starter,Tanya Oluoch,2024-04-11,2024-05-19,21,38,No,17,Technician app resistance,Completed,Yes,Yes,Yes,Yes,Yes,No,63.0,0
ONB-0096,ACC-0114,Premier Electrical Associates,Pro,Omar Castillo,2024-07-04,2024-07-25,21,21,Yes,0,None,Completed,Yes,Yes,Yes,Yes,No,Yes,73.0,8
ONB-0097,ACC-0131,Elite HVAC Partners,Growth,Emma Solis,2024-04-30,2024-05-25,21,25,No,4,None,Go-Live,No,Yes,Yes,Yes,Yes,Yes,82.4,0
ONB-0098,ACC-0217,BlueStar HVAC Professionals,Growth,Ravi Mehta,2024-03-02,2024-03-20,21,18,Yes,0,None,Kickoff,No,Yes,Yes,Yes,Yes,Yes,80.4,10
ONB-0099,ACC-0390,TrustWorks Facilities Management Group,Growth,Emma Solis,2024-07-08,2024-08-25,21,48,No,27,QuickBooks sync failure,Go-Live,No,Yes,Yes,Yes,Yes,No,52.2,7
ONB-0100,ACC-0157,Elite Landscaping Associates,Pro,Omar Castillo,2024-03-31,2024-04-21,21,21,Yes,0,None,Kickoff,No,Yes,Yes,Yes,No,Yes,62.8,8
ONB-0101,ACC-0280,Heritage Landscaping Experts,Growth,Sadia Islam,2024-04-06,2024-05-01,21,25,No,4,Technician app resistance,Go-Live,No,Yes,Yes,Yes,No,Yes,56.9,1
ONB-0102,ACC-0609,Metro Facilities Management Technologies,Growth,Tanya Oluoch,2024-08-13,2024-09-12,21,30,No,9,Champion left – restart required,Completed,Yes,Yes,Yes,Yes,No,No,80.8,1
ONB-0103,ACC-0301,OneCall HVAC Professionals,Pro,Omar Castillo,2022-07-21,2022-08-28,21,38,No,17,Champion left – restart required,Integrations,No,Yes,Yes,Yes,No,No,58.5,1
